technique_id,technique_name,tactic,families
T1027.006,,,EnvyScout|QakBot
T1027.007,,,AvosLocker|Bazar|CANONSTAGER|CHIMNEYSWEEP|CLAIMLOADER|HTTPTroy|HiddenFace|LODEINFO|LP-Notes|Latrodectus|PlugX|Pteranodon|Raccoon Stealer|Samurai|SplatDropper|TONESHELL
T1027.008,,,Cuckoo Stealer|macOS.OSAMiner
T1027.009,,,BADHATCH|CHIMNEYSWEEP|ComRAT|DEADEYE|DEADWOOD|DUSTPAN|DUSTTRAP|Dtrack|Emotet|IcedID|Moneybird|MultiLayer Wiper|Netwalker|Pikabot|SMOKEDHAM|Uroburos|macOS.OSAMiner
T1027.010,,,Astaroth|BADHATCH|BackConfig|CARROTBAT|ComRAT|CookieMiner|DarkWatchman|Denis|Emotet|FruitFly|Havoc|IceApple|IronWind|KOCTOPUS|LoudMiner|Machete|Netwalker|PHASEJAM|POWERSTATS|PoetRAT|PowerPunch|QUADAGENT|QakBot|RedLine Stealer|RogueRobin|SHARPSTATS|SQLRat|Sardonic|Sibot|Tsundere Botnet|Ursnif|XORIndex Loader|Zeus Panda
T1027.011,,,CHOPSTICK|Chaes|ComRAT|DarkWatchman|Exaramel for Windows|Gelsemium|Grandoreiro|Mosquito|NETWIRE|Pikabot|Pillowmint|PipeMon|PolyglotDuke|QUADAGENT|QakBot|RCSession|REvil|RegDuke|ShadowPad|Sibot|SysUpdate|TYPEFRAME|ThreatNeedle|TinyTurla|Uroburos|Valak|Volgmer
T1027.012,,,TONESHELL
T1027.013,,,ANELLDR|Aria-body|AshTag|Astaroth|Attor|AuditCred|Avenger|BLINDINGCAN|BLUELIGHT|BOOKWORM|BOOSTWRITE|BRICKSTORM|Bazar|BeaverTail|BendyBear|Bisonal|BitPaymer|BlackByte Ransomware|CARROTBAT|Caminho|Carberp|Cardinal RAT|Chinoxy|Chrommme|CorKLOG|CozyCar|Cuckoo Stealer|DCSrv|DEADEYE|DEADWOOD|DOGCALL|DOWNIISSA|DRYHOOK|DUSTPAN|DUSTTRAP|Dacls|DanBot|DarkGate|Elise|Embargo|Emissary|Emotet|EnvyScout|Exaramel for Linux|FELIXROOT|FIVEHANDS|FlawedGrace|FoggyWeb|FunnyDream|Fysbis|Gazer|GlassWorm|GoldMax|GoldenSpy|Grandoreiro|GravityRAT|GreyEnergy|HAWKBALL|HOMEFRY|HeartCrypt|Helminth|HermeticWizard|HexEval Loader|Heyoka Backdoor|Hi-Zor|HiddenFace|HiddenWasp|Hildegard|HotCroissant|HyperBro|IPsec Helper|IcedID|InvisibleFerret|JHUHUGIT|KEYPLUG|KGH_SPY|KONNI|Kapeka|Kerrdown|Kessel|Kevin|KeyBoy|Kwampirs|LODEINFO|LP-Notes|Latrodectus|LightNeuron|LightSpy|LockBit 3.0|LoudMiner|Lumma Stealer|LunarMail|LunarWeb|MEDUSA|MOPSLED|Mafalda|MagicRAT|Mango|Medusa Ransomware|Metamorfo|Micropsia|Milan|Mispadu|More_eggs|Mosquito|NOOPLDR|NanHaiShu|Ninja|OSX_OCEANLOTUS.D|PAKLOG|PHASEJAM|PHPsert|PS1|Penquin|PipeMon|PlugX|Prikormka|PureCrypter|PyDCrypt|Qilin|RAPIDPULSE|REvil|ROADSWEEP|ROAMINGHOUSE|Raccoon Stealer|Raindrop|RainyDay|RansomHub|Reaver|RedLeaves|RedLine Stealer|Remexi|Remsec|Rifdoor|Rising Sun|RustyWater|SPAWNCHIMERA|STARWHALE|SUPERNOVA|Sagerunex|Sakula|SamSam|Seasalt|Shark|Skidmap|Smoke Loader|SocGholish|SpeakUp|SplatDropper|Squirrelwaffle|StealBit|StoneDrill|StrelaStealer|StrongPity|Stuxnet|SysUpdate|TINYTYPHON|TYPEFRAME|Taidoor|ThreatNeedle|Torisma|TrickBot|Tsundere Botnet|UPSTYLE|USBStealer|Uroburos|Ursnif|VERMIN|VersaMem|Volgmer|WastedLocker|Waterbear|WhisperGate|WindTail|Winnti for Linux|Winnti for Windows|Woody RAT|XCSSET|XLoader|XORIndex Loader|YAHOYAH|ZeroT|Zeus Panda|Zox|ZxxZ|metaMain|njRAT
T1027.014,,,BendyBear
T1027.015,,,BADHATCH|DarkWatchman|Gelsemium|Hancitor|HermeticWiper|Kerrdown|LODEINFO|Line Runner|Ninja|PUBLOAD|Pandora|Pillowmint|Pony|RCSession|RTM|SUNBURST|Samurai|ShimRat|SocGholish|StrelaStealer|ThreatNeedle|WindTail|Winnti for Windows
T1027.016,,,ANELLDR|CORESHELL|FatDuke|FinFisher|Gelsemium|Goopy|LODEINFO|Maze|NOOPLDR|POWERSTATS|Pony|PureCrypter|SamSam|StrelaStealer|WastedLocker|XTunnel|ZeroT|yty
T1027.018,,,GlassWorm
T1029,,,ADVSTORESHELL|Chrommme|Cobalt Strike|ComRAT|Dipsind|Flagpro|Kazuar|LightNeuron|Linfo|Machete|Ninja|POWERSTATS|ShadowPad|Shark|ShimRat|TinyTurla|jRAT
T1030,,,AppleSeed|Carbanak|Cobalt Strike|Helminth|Kessel|Kevin|LunarWeb|ObliqueRAT|OopsIE|POSHSPY|RDAT|StealBit
