canonical_name,aliases,classification,description,uuid,source_cluster
EagleMsgSpy,,malware,"According to Lookout, EagleMsgSpy is a lawful intercept surveillance tool developed by a Chinese software development company with use by public security bureaus in mainland China. Early samples indicate the surveillance tool has been operational since at least 2017, with development continued into late 2024. EagleMsgSpy collects extensive data from the user: third-party chat messages, screen recording and screenshot capture, audio recordings, call logs, device contacts, SMS messages, location d",1b53d17e-ab9c-4b9f-8c01-588bccac4dee,malpedia.json
Elibomi,Drinik,malware,,63cc0b01-c92e-40e7-8669-48d10a490ffb,malpedia.json
ERMAC,,malware,"According to Intel471, ERMAC, an Android banking trojan enables bad actors to determine when certain apps are launched and then overwrites the screen display to steal the user's credentials",602944f4-a86c-4a05-b98f-cfb525fb8896,malpedia.json
ErrorFather,,malware,ErrorFather is an Android banking trojan with a multi-stage dropper. The final payload is derived from the Cerberus source code leak.,2c7f6a97-4469-4f97-9a69-5549282a94a6,malpedia.json
Eventbot,,malware,"According to ThreatFabric, the app overlays 15 financial targets from UK, Italy, and Spain, sniffs 234 apps from banks located in Europe as well as crypto wallets.",5a6fb8cd-d582-4c8c-b7e0-a5b4cf4f248f,malpedia.json
ExoBot,,malware,,c9f2b058-6c22-462a-a20a-fca933a597dd,malpedia.json
Exodus,,malware,,462bc006-b7bd-4e10-afdb-52baf86121e8,malpedia.json
FaceStealer,,malware,Facebook Credential Stealer.,c35ebd96-d2f8-4add-b86f-f552ed5dfa9b,malpedia.json
FakeAdBlocker,,malware,,d0ae2b6b-5137-4b64-be3e-4bbc9aa007a6,malpedia.json
Fakecalls,,malware,"According to Kaspersky, Fakecalls  is a Trojan that masquerades as a banking app and imitates phone conversations with bank employees.

",014aeab6-2292-4ee5-83d6-fffb0fc21423,malpedia.json
FakeDefend,,malware,,8ea1fc8c-ec66-4d39-b32a-da69d3277da4,malpedia.json
FakeSpy,,malware,,dd821edd-901b-4a5e-b35f-35bb811964ab,malpedia.json
FakeGram,FakeTGram,malware,,6c0fc7e4-4629-494f-b471-f7a8cc47c0e0,malpedia.json
FastFire,,malware,,5613da3a-06f5-4363-b468-0b8a03ffc292,malpedia.json
FastSpy,,malware,,a5e3e217-3790-4d7c-b67a-906b9ee69034,malpedia.json
FileCoder,,malware,"According to heimdal, A new strain of ransomware emerged on Android mobile devices. It targets those who are running the operating system Android 5.1 and higher. This Android ransomware strain has been dubbed by security researchers FileCoder (Android/Filecoder.c) and it spreads via text messages containing a malicious link.
",09ff3520-b643-44bd-a0de-90c0e75ba12f,malpedia.json
FinFisher (Android),,malware,,0bf7acd4-6493-4126-9598-d2ed069e32eb,malpedia.json
FlexiSpy (Android),,malware,,4305d59a-0d07-4021-a902-e7996378898b,malpedia.json
FlexNet,gugi,malware,,80d7d229-b3a7-4205-8304-f7b18bda129f,malpedia.json
FluBot,Cabassous|FakeChat,malware,"PRODAFT describes FluBot as a banking malware which originally targeted Spain. Since the first quarter of 2021 it has been targeting many other European countries as well as Japan. It uses a DGA for it's C&C and relies on both DNS and DNS-over-HTTPS for name resolution. Despite arrests of multiple people suspected of involvement with this malware in March of 2021, the campaign has only intensified since.",ef91833f-3334-4955-9218-f106494e9fc0,malpedia.json
FluHorse,,malware,"According to Check Point, this malware features several malicious Android applications that mimic legitimate applications, most of which have more than 1,000,000 installs. These malicious apps steal the victims’ credentials and Two-Factor Authentication (2FA) codes. FluHorse targets different sectors of Eastern Asian markets and is distributed via emails. In some cases, the emails used in the first stage of the attacks belong to high-profile entities. The malware can remain undetected for months",aeaeb8b2-650e-471d-a901-3c4fbae42854,malpedia.json
